Using specified device: cuda:0
[LSTM] 参数量: 218,527

>>> Run 1/3  [LSTM]  开始训练...
| epoch  22 |  19.0s | loss 0.1132 | mae 0.1115 | rmse 0.5816 | da 0.5061 | tda 0.5055 | ic 0.0142 | icir 0.2607
| epoch  23 |  18.8s | loss 0.1116 | mae 0.1101 | rmse 0.5828 | da 0.5062 | tda 0.5065 | ic 0.0150 | icir 0.2580
| epoch  24 |  19.0s | loss 0.1105 | mae 0.1093 | rmse 0.5778 | da 0.5067 | tda 0.5066 | ic 0.0182 | icir 0.3712
| epoch  25 |  18.9s | loss 0.1094 | mae 0.1059 | rmse 0.5661 | da 0.5070 | tda 0.5067 | ic 0.0181 | icir 0.3564
| epoch  26 |  18.7s | loss 0.1084 | mae 0.1059 | rmse 0.5695 | da 0.5070 | tda 0.5064 | ic 0.0148 | icir 0.3163
| epoch  27 |  18.6s | loss 0.1074 | mae 0.1046 | rmse 0.5621 | da 0.5072 | tda 0.5077 | ic 0.0226 | icir 0.4522
| epoch  28 |  18.9s | loss 0.1063 | mae 0.1031 | rmse 0.5610 | da 0.5074 | tda 0.5078 | ic 0.0176 | icir 0.3726
| epoch  29 |  18.0s | loss 0.1053 | mae 0.1020 | rmse 0.5562 | da 0.5073 | tda 0.5089 | ic 0.0133 | icir 0.2441
| epoch  30 |  18.3s | loss 0.1044 | mae 0.1001 | rmse 0.5482 | da 0.5074 | tda 0.5084 | ic 0.0193 | icir 0.3633
| epoch  31 |  17.7s | loss 0.1038 | mae 0.1005 | rmse 0.5540 | da 0.5083 | tda 0.5089 | ic 0.0209 | icir 0.4277
| epoch  32 |  17.4s | loss 0.1033 | mae 0.0987 | rmse 0.5454 | da 0.5077 | tda 0.5091 | ic 0.0192 | icir 0.3800
| epoch  33 |  18.0s | loss 0.1028 | mae 0.0996 | rmse 0.5482 | da 0.5083 | tda 0.5084 | ic 0.0176 | icir 0.3133
| epoch  34 |  18.3s | loss 0.1020 | mae 0.0973 | rmse 0.5432 | da 0.5085 | tda 0.5082 | ic 0.0182 | icir 0.3477
| epoch  35 |  18.0s | loss 0.1013 | mae 0.0966 | rmse 0.5426 | da 0.5084 | tda 0.5090 | ic 0.0181 | icir 0.3308
| epoch  36 |  18.3s | loss 0.1009 | mae 0.0965 | rmse 0.5414 | da 0.5089 | tda 0.5097 | ic 0.0234 | icir 0.4720
| epoch  37 |  17.8s | loss 0.1006 | mae 0.0963 | rmse 0.5408 | da 0.5086 | tda 0.5092 | ic 0.0184 | icir 0.3453
| epoch  38 |  18.0s | loss 0.0999 | mae 0.0951 | rmse 0.5377 | da 0.5088 | tda 0.5093 | ic 0.0182 | icir 0.3499
| epoch  39 |  18.3s | loss 0.0993 | mae 0.0958 | rmse 0.5414 | da 0.5097 | tda 0.5093 | ic 0.0174 | icir 0.3269
| epoch  40 |  18.3s | loss 0.0991 | mae 0.0943 | rmse 0.5362 | da 0.5106 | tda 0.5083 | ic 0.0175 | icir 0.3376
| epoch  41 |  17.9s | loss 0.0985 | mae 0.0950 | rmse 0.5384 | da 0.5100 | tda 0.5101 | ic 0.0224 | icir 0.4355
| epoch  42 |  18.3s | loss 0.0982 | mae 0.0938 | rmse 0.5349 | da 0.5087 | tda 0.5096 | ic 0.0213 | icir 0.3947
| epoch  43 |  18.3s | loss 0.0977 | mae 0.0930 | rmse 0.5325 | da 0.5092 | tda 0.5081 | ic 0.0174 | icir 0.3379
| epoch  44 |  17.9s | loss 0.0972 | mae 0.0930 | rmse 0.5351 | da 0.5090 | tda 0.5091 | ic 0.0175 | icir 0.3209
| epoch  45 |  18.3s | loss 0.0973 | mae 0.0931 | rmse 0.5336 | da 0.5092 | tda 0.5093 | ic 0.0150 | icir 0.3130
| epoch  46 |  17.9s | loss 0.0964 | mae 0.0943 | rmse 0.5373 | da 0.5085 | tda 0.5089 | ic 0.0206 | icir 0.3864
| epoch  47 |  16.2s | loss 0.0966 | mae 0.0928 | rmse 0.5358 | da 0.5099 | tda 0.5090 | ic 0.0180 | icir 0.3224
| epoch  48 |  16.8s | loss 0.0960 | mae 0.0922 | rmse 0.5333 | da 0.5087 | tda 0.5088 | ic 0.0175 | icir 0.3301
